"Refid","Bibliography","User","Ris Code","Level","DE_VBD_PREVALENCE_FINAL_k","studyID
Unique ID to link all observations from the same study or experiment","agent
Causative agent of vector borne diseases","agentSubtypeType","agentSubtypeType_comment","agentDetails
The further information given regarding the sutype type given above. ","sampCountry
Country where study was performed","sampCountry
Country where study was performed_comment","SampArea_text
Please provide the name of the sampled area.","Sampling context
reason for sampling, type of study, surveillance types","Sampling context
reason for sampling, type of study, surveillance types_comment","Reason for sampling
Free text to describe the reason for performing pathogen testing (e.g. serological survey, trade purposes), if not already clear from the study type","Disease situation / outbreak phase
Please report outbreak phase or any other information given regarding the disease situation in the area. ","sampY
Start year of study/outbreak
(-1 if not specified)","sampM
Start month of study/outbreak
(-1 if not specified)","duration
Duration of study/outbreak in months","analysisY
Year when the analysis was completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed","studyTargetSpecies
Description of the sample. Where result relates to environmental samples this field can be left blank but sampledMatrix should be completed_comment","sampPoint
Point in the food chain, where the samples were taken","sampPoint
Point in the food chain, where the samples were taken_comment","sampStrategy
Strategy used to select sample units for laboratory analysis","sampStrategy
Strategy used to select sample units for laboratory analysis_comment","Longitudinal/Repeated sampling?
if this is a longitudinal study, describe the scheme of sampling (for instance paired samples with 2 months interval). ","sampUnit
Type of unit sampled in the study and reported in sampUnitSize","sampUnit
Type of unit sampled in the study and reported in sampUnitSize_comment","sampUnitSize
Number of sampling units tested (sample size)","MinAgeMonths
Age of animals in months
(-1 if not specified)","MaxAgeMonths
Age of animals in months
(-1 if not specified)","sampledMatrix
Matrix sampled for testing","sampledMatrix
Matrix sampled for testing_comment","anMethCode
Laboratory test used","anMethCode
Laboratory test used_comment","anMatText
Target of laboratory test","anMatText
Target of laboratory test_comment","anMethText
Description of laboratory method (where relevant include method of calculation of cut-offs)","sensitivity
Sensitivity of test","specificity
Specificity of test","nPositive
Number of animals positive","Were all cases confirmed to be IMPORTED (animals believed not to have been infected in the study area) -> YES, only IMPORTED cases","nNegative
Number of animals negative","Disease freedom
was this phrased as a disease freedom investigation?","Design prevalence
If given, in % (p.e. 2%). This is the minimum assumed prevalence of the disease in the region, if it was present.","prevalence (..%, e.g write 7, when the prevalence is 0.07 or 7%)
Reported prevalence in paper","LCI_PR
Lower Confidence interval-prevalence","UCI_PR
Upper confidence interval-prevalence","incidence
Reported incidence value","LCI_I
Lower confidence interval-incidence","UCI_I
Upper confidence interval-incidence","incidenceUnits
Units of reported incidence value","incidence Unit comments
Any further information on incidence units","R0
Basic reproduction number","Lower value of Ro range","Upper level of range or of Ro","impactMeasure
Description of the measure used / reported in the paper","impactValue
Value","impactUnit
Unit","impactUnit
Unit_comment","Clinical signs
If clinical signs were described, please list them here","Severity
If any measure of severity was described, please give an objective summary here","More info missed?
Are there more detailed information on the clinical progression, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on the type and duration of clinical signs? ","Risk factors - INCREASE RISK
if this was a study where risk factor were investigated, please list factors confirmed to be associated with increased disease risk","Risk factors - PROTECTIVE FACTOR
if this was a study where risk factor were investigated, please list factors confirmed to REDUCE disease risk","More info missed?
Are there more detailed information on risk factors, which could not be collected here? Would this paper be worth a new data collection form focusing specifically on risk factors? ","Quality check and other notes
if relevant, please add any notes about information in the paper which you think is relevant but was not capured in the form.
Also add any notes about detected biases or other methodological flaws.","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer","agentSubtype
Code agent of vector borne diseases agent serotype/genotype/strain
from DACRAH1, no need to answer_comment"
12370812,"Magona, J. W., Galiwango, T., Walubengo, J., Mukiibi, G. (2013).  Rift Valley fever in Uganda: Seroprevalence and risk factor surveillance vis-à-vis mosquito vectors, anti-RVF virus IgG and RVF virus neutralizing antibodies in goats Small Ruminant Research, 114(1),  176-181",dan.evans,,3,,1,"Rift Valley fever virus",,,,Uganda,,"Ssembabule, Mpigi, Masaka and Mubende districts","Surveillance active (active search for cases)",,,"Endemic disease",-1,-1,-1,-1,"Goat (Capra aegagrus hircus)",,Farm,,"Objective (random) sampling",,,"host (animal or human)",,1470,-1,-1,"Blood serum",,"Other: specify","Sandwich ELISA",IgG,,,,,,,,,,9.8,8.5,11.1,,,,,,,,,,,,,,,,,,,,,
12370812,"Magona, J. W., Galiwango, T., Walubengo, J., Mukiibi, G. (2013).  Rift Valley fever in Uganda: Seroprevalence and risk factor surveillance vis-à-vis mosquito vectors, anti-RVF virus IgG and RVF virus neutralizing antibodies in goats Small Ruminant Research, 114(1),  176-181",dan.evans,,3,,1,"Rift Valley fever virus",,,,Uganda,,"Ssembabule, Mpigi, Masaka and Mubende districts","Surveillance active (active search for cases)",,,"Endemic disease",-1,-1,-1,-1,"Goat (Capra aegagrus hircus)",,Farm,,"Objective (random) sampling",,,"host (animal or human)",,700,-1,-1,"Blood serum",,"Virus neutralisation test (VNT)",,Virus,,,,,,,,,,24.3,21.1,27.5,,,,,,,,,,,,,,,,,,,,,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,1,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Vohilengo village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,15,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,13,,,,,86.6,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,1,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Vohilengo village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,15,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,8,,,,,53.3,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,2,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Itendro village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,13,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,6,,,,,46.1,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,2,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Itendro village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,13,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,3,,,,,23,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,3,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Tampolo village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,27,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,13,,,,,48.1,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,3,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Tampolo village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,27,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,3,,,,,11.1,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,4,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Namantoana village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,26,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,15,,,,,57.6,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,4,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Namantoana village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,23,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,8,,,,,34.7,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,5,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Mahambo village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,17,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,8,,,,,47,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,5,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Mahambo village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,17,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,3,,,,,17.6,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,6,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Vavatenina village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,5,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,4,,,,,80,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,6,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Vavatenina village","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,5,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,2,,,,,40,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,7,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Not specified","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,5,-1,-1,"Blood serum",,"Indirect Immunofluorescence Antibody test (IFAT)",,Antibody,,,,,5,,,,,100,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370815,"Morvan, J., Saluzzo, J. F., Fontenille, D., Rollin, P. E., Coulanges, P. (1991).  Rift valley fever on the east coast of Madagascar Research in Virology, 142(6),  475-482",seungeun.han,,3,,7,"Rift Valley fever virus","Other: specify","Not specified",,Madagascar,,"Not specified","Outbreak investigation",,"To report virological, serological and entomological investigation of the epizootic outbreak in 1990","Outbreak - On-going",1990,5,1,,"Zebu (Bos indicus)",,Farm,,"Suspect sampling",,,"host (animal or human)",,5,-1,-1,"Blood serum",,"IgM-capture ELISA (MAC-ELISA)",,Antibody,,"Sera were considered to be positive if the OD was greater than the mean background of a panel of negative animals plus 3 SD.",,,5,,,,,100,,,,,,,,,,,,,,,Abortion,,,"Commercial cattle migration from the west breeding region",,,"Sampling was conducted in Fenerive area villages where a high incidence of abortion in zebu cattle was reported.",,
12370818,"Fafetine, J. M., Coetzee, P., Mubemba, B., Nhambirre, O., Neves, L., Coetzer, J. A. W., Venter, E. H. (2016).  Rift valley fever outbreak in livestock, Mozambique, 2014 Emerging Infectious Diseases, 22(12),  2165-2167",dan.evans,,3,,1,"Rift Valley fever virus",,,,Mozambique,,"Goba, Xai-Xai and Chibuto","Outbreak investigation",,,"Outbreak - Resolved (post outbreak phase)",2014,03,-1,-1,"Goat (Capra aegagrus hircus)",,Farm,,Census,,,"host (animal or human)",,127,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,IgM,,"IDvet Screen RVF IgM ELISA",,,31,,,,,24.4,,,,,,,,,,,,,,,"Abortion and newborn death",,,"Heavy Rains",,,"Paper not clear if all samples are goats",,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,1,"Rift Valley fever virus",,,,Kenya,,Tsavo,"Surveillance active (active search for cases)",,,"Endemic disease",2000,10,-1,1,"African Buffalo (Syncerus caffer)",,,,,,,"host (animal or human)",,10,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,2,"Rift Valley fever virus",,,,Kenya,,"Maasai Mara","Surveillance active (active search for cases)",,,"Endemic disease",2000,10,-1,1,"African Buffalo (Syncerus caffer)",,,,,,,"host (animal or human)",,2,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,3,"Rift Valley fever virus",,,,Kenya,,Galana,"Surveillance active (active search for cases)",,,"Endemic disease",2000,10,-1,1,"Dromedary (Camelus dromedarius)",,,,,,,"host (animal or human)",,15,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,1,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,4,"Rift Valley fever virus",,,,Kenya,,Garissa,"Surveillance active (active search for cases)",,,"Endemic disease",2000,11,-1,1,"Dromedary (Camelus dromedarius)",,,,,,,"host (animal or human)",,13,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,1,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,5,"Rift Valley fever virus",,,,Kenya,,Garissa,"Surveillance active (active search for cases)",,,"Endemic disease",2004,7,-1,1,"African Buffalo (Syncerus caffer)",,,,,,,"host (animal or human)",,49,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,6,"Rift Valley fever virus",,,,Kenya,,"Amboseli National Park","Surveillance active (active search for cases)",,,"Endemic disease",2006,11,-1,1,"African Buffalo (Syncerus caffer)",,,,,,,"host (animal or human)",,21,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,1,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,7,"Rift Valley fever virus",,,,Kenya,,"Lake Naivasha National Park","Surveillance active (active search for cases)",,,"Endemic disease",2007,1,-1,1,"African Buffalo (Syncerus caffer)",,,,,,,"host (animal or human)",,27,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,11,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,8,"Rift Valley fever virus",,,,Kenya,,Laikipia,"Surveillance active (active search for cases)",,,"Endemic disease",2007,1,-1,1,"African Buffalo (Syncerus caffer)",,,,,,,"host (animal or human)",,111,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,9,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,9,"Rift Valley fever virus",,,,Kenya,,Nakuru,"Surveillance active (active search for cases)",,,"Endemic disease",2007,2,-1,1,"Warthog (Phaecochoerus africanus)",,"Natural habitat",,,,,"host (animal or human)",,1,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,10,"Rift Valley fever virus",,,,Kenya,,"Maasai Mara","Surveillance active (active search for cases)",,,"Endemic disease",2007,2,-1,1,"African Buffalo (Syncerus caffer)",,"Natural habitat",,,,,"host (animal or human)",,25,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,15,,,,,60,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,11,"Rift Valley fever virus",,,,Kenya,,"Maasai Mara","Surveillance active (active search for cases)",,,"Endemic disease",2007,2,-1,1,"Warthog (Phaecochoerus africanus)",,"Natural habitat",,,,,"host (animal or human)",,42,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,32,,,,,76.1,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,12,"Rift Valley fever virus",,,,Kenya,,"Isiolo Webera","Surveillance active (active search for cases)",,,"Endemic disease",2007,6,-1,1,"Dromedary (Camelus dromedarius)",,"Natural habitat",,,,,"host (animal or human)",,2,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,2,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,13,"Rift Valley fever virus",,,,Kenya,,Wajir,"Surveillance active (active search for cases)",,,"Endemic disease",2008,2,-1,1,"warthog (Phacochoerus africanus)",,"Natural habitat",,,,,"host (animal or human)",,11,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,1,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,
12370829,"Britch, S. C., Binepal, Y. S., Ruder, M. G., Kariithi, H. M., Linthicum, K. J., Anyamba, A., Small, J. L., Tucker, C. J., Ateya, L. O., Oriko, A. A., Gacheru, S., Wilson, W. C. (2013).  Rift Valley Fever Risk Map Model and Seroprevalence in Selected Wild Ungulates and Camels from Kenya PLoS ONE, 8(6),  #Pages#",dan.evans,,3,,14,"Rift Valley fever virus",,,,Kenya,,Marsabit,"Surveillance active (active search for cases)",,,"Endemic disease",2008,2,-1,1,"warthog (Phacochoerus africanus)",,"Natural habitat",,,,,"host (animal or human)",,2,-1,-1,"Blood serum",,"Enzyme linked immunosorbent assay (ELISA)",,Unspecified,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
