"Refid","Bibliography","Author","Title","Abstract","Year","User","Level","agent
Causative agent of vector borne diseases","studyTargetHOST
Species target of the study. If not mentioned (for instance vector studies not mentioning any particular host species), then please leave it as ""NOT HOST SPECIFIC"""
9690," Filipe Dantas-Torres, et al. 2013."," Filipe Dantas-Torres, Gioia Capelli, Alessio Giannelli, Rafael Antonio Nascimento Ramos, Riccardo Paolo Lia, Cinzia Cantacessi, Donato de Caprariis, Anna Sara De Tommasi, Maria Stefania Latrofa, Vita Lacasella, Viviana Domenica Tarallo, Giancarlo Di Paola, Barbara Qurollo, Edward Breitschwerdt, Dorothee Stanneck, Domenico Otranto","Efficacy of an imidacloprid/flumethrin collar against fleas, ticks and tick-borne pathogens in dogs","Background: Tick-borne diseases comprise a group of maladies that are of substantial medical and veterinary significance. A range of tick-borne pathogens, including diverse species of bacteria and protozoa, can infect both dogs and humans. Hence, the control of tick infestations is pivotal to decrease or prevent tick-borne pathogen transmission. Therefore, different commercial products with insecticidal, repellent or both properties have been developed for use on dogs. Recently, a collar containing a combination of imidacloprid 10% and flumethrin 4.5% has proven effective to prevent tick and flea infestations in dogs under field conditions and the infection by some vector-borne pathogens they transmit under laboratory-controlled conditions. Methods: From March 2011 to April 2012, a field study was conducted in a private shelter in southern Italy to assess the efficacy of the imidacloprid/flumethrin collar against tick and flea infestations and to determine if this strategy would decrease tick-borne pathogen transmission in young dogs. A total of 122 animals were enrolled in the study and randomly assigned to group A (n = 64; collared) or group B (n = 58; untreated controls). Dogs were examined monthly for ticks and fleas and systematically tested for selected tick-borne pathogens. Results: Compared to controls, the collar provided overall efficacies of 99.7% and 100% against tick and flea infestation, respectively. The overall efficacy for the prevention of tick-borne pathogens (i.e., Anaplasma platys and Babesia vogeli) was 91.6%. Conclusions: This study demonstrates that the imidacloprid/flumethrin collar is efficacious against flea and tick infestation as well as tick-borne pathogen transmission to dogs under field conditions.",2013,thomas.rosendal,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
9875," Marimuthu Govindarajan, et al. 2013."," Marimuthu Govindarajan, Rajamohan Sivakumar, Mohan Rajeswary, Kaliyan Veerakumar","Mosquito larvicidal activity of thymol from essential oil of Coleus aromaticus Benth. against Culex tritaeniorhynchus, Aedes albopictus, and Anopheles subpictus (Diptera: Culicidae)","Diseases transmitted by blood-feeding mosquitoes, such as dengue fever, dengue hemorrhagic fever, Japanese encephalitis, malaria, and filariasis, are increasing in prevalence, particularly in tropical and subtropical zones. To control mosquitoes and mosquito-borne diseases, which have a worldwide health and economic impacts, synthetic insecticide-based interventions are still necessary, particularly in situations of epidemic outbreak and sudden increases of adult mosquitoes. However, the indiscriminate use of conventional insecticides is fostering multifarious problems like widespread development of insecticide resistance, toxic hazards to mammals, undesirable effects on nontarget organisms, and environmental pollution. The aim of this research was to evaluate the toxicity of mosquito larvicidal activity of essential oil from Coleus aromaticus and its pure isolated constituent thymol against larvae of Culex tritaeniorhynchus, Aedes albopictus, and Anopheles subpictus. The chemical composition of the essential oil was analyzed using gas chromatography-mass spectroscopy. A total of 14 components of the essential oil of C. aromaticus were identified. The major chemical components identified were thymol (82.68 %), terpinen-4-ol (3.2 %), and trans-Caryophyllene (3.18 %). Twenty-five early third instar larvae of C. tritaeniorhynchus, A. albopictus, and A. subpictus were exposed and assayed in the laboratory. Thymol and essential oil were tested in concentrations of 10, 20, 30, 40, and 50 and 30, 60, 90, 120, and 150 ppm, respectively. The larval mortality was observed after 24 h of treatment. The thymol had a significant toxic effect against early third-stage larvae of C. tritaeniorhynchus, A. albopictus, and A. subpictus with an LC50 values of 28.19, 24.83, and 22.06 mu g/mL respectively, whereas the essential oil of C. aromaticus had an LC50 values of 72.70, 67.98, and 60.31 mu g/mL, respectively. No mortality was observed in controls. The Chi-square values were significant at p < 0.05 level. The result indicated that the essential oil of C. aromaticus and the isolated constituent have a potential for use in control of C. tritaeniorhynchus, A. albopictus, and A. subpictus larvae and could be useful in search of newer, safer, and more effective natural compounds as larvicides.",2013,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
9875," Marimuthu Govindarajan, et al. 2013."," Marimuthu Govindarajan, Rajamohan Sivakumar, Mohan Rajeswary, Kaliyan Veerakumar","Mosquito larvicidal activity of thymol from essential oil of Coleus aromaticus Benth. against Culex tritaeniorhynchus, Aedes albopictus, and Anopheles subpictus (Diptera: Culicidae)","Diseases transmitted by blood-feeding mosquitoes, such as dengue fever, dengue hemorrhagic fever, Japanese encephalitis, malaria, and filariasis, are increasing in prevalence, particularly in tropical and subtropical zones. To control mosquitoes and mosquito-borne diseases, which have a worldwide health and economic impacts, synthetic insecticide-based interventions are still necessary, particularly in situations of epidemic outbreak and sudden increases of adult mosquitoes. However, the indiscriminate use of conventional insecticides is fostering multifarious problems like widespread development of insecticide resistance, toxic hazards to mammals, undesirable effects on nontarget organisms, and environmental pollution. The aim of this research was to evaluate the toxicity of mosquito larvicidal activity of essential oil from Coleus aromaticus and its pure isolated constituent thymol against larvae of Culex tritaeniorhynchus, Aedes albopictus, and Anopheles subpictus. The chemical composition of the essential oil was analyzed using gas chromatography-mass spectroscopy. A total of 14 components of the essential oil of C. aromaticus were identified. The major chemical components identified were thymol (82.68 %), terpinen-4-ol (3.2 %), and trans-Caryophyllene (3.18 %). Twenty-five early third instar larvae of C. tritaeniorhynchus, A. albopictus, and A. subpictus were exposed and assayed in the laboratory. Thymol and essential oil were tested in concentrations of 10, 20, 30, 40, and 50 and 30, 60, 90, 120, and 150 ppm, respectively. The larval mortality was observed after 24 h of treatment. The thymol had a significant toxic effect against early third-stage larvae of C. tritaeniorhynchus, A. albopictus, and A. subpictus with an LC50 values of 28.19, 24.83, and 22.06 mu g/mL respectively, whereas the essential oil of C. aromaticus had an LC50 values of 72.70, 67.98, and 60.31 mu g/mL, respectively. No mortality was observed in controls. The Chi-square values were significant at p < 0.05 level. The result indicated that the essential oil of C. aromaticus and the isolated constituent have a potential for use in control of C. tritaeniorhynchus, A. albopictus, and A. subpictus larvae and could be useful in search of newer, safer, and more effective natural compounds as larvicides.",2013,ann.lindberg,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
10044," Molina R, et al. 2012."," R. Molina, C. Espinosa-Gongora, R. Galvez, A. Montoya, M. A. Descalzo, M. I. Jimenez, D. Dado, G. Miro","Efficacy of 65% permethrin applied to dogs as a spot-on against Phlebotomus perniciosus","Leishmania infantum is a protozoan parasite causing leishmaniosis, a visceral disease transmitted by the bites of sand flies. As the main reservoir of the parasite, dogs are the principal targets of control measures against this disease, which affects both humans and dogs. Several studies have revealed the usefulness of topical insecticide treatment (collars, spot-ons and sprays) in reducing the incidence and prevalence of L infantum. The present study was designed to test the efficacy of 65% permethrin applied to dogs as a spot-on against the sand fly vector Phlebotomus perniciosus. The duration of the desired effects was also estimated to help design an optimal treatment regimen. Twelve dogs assigned to treatment (n = 6) and control (n = 6) groups were exposed to sand flies once a week over a seven-week period. Repellent and insecticidal efficacies were estimated and compared amongst the groups. Our findings indicate satisfactory repellent, or anti-feeding, effects lasting 3 weeks and short-term insecticidal effects lasting 2 weeks after initial application. Accordingly, we recommend the use of this product every 2-3 weeks during the active phlebotomine sand fly period to protect dogs against the bites of P. perniciosus. (C) 2012 Elsevier B.V. All rights reserved.",2012,tobias.lilja,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
10044," Molina R, et al. 2012."," R. Molina, C. Espinosa-Gongora, R. Galvez, A. Montoya, M. A. Descalzo, M. I. Jimenez, D. Dado, G. Miro","Efficacy of 65% permethrin applied to dogs as a spot-on against Phlebotomus perniciosus","Leishmania infantum is a protozoan parasite causing leishmaniosis, a visceral disease transmitted by the bites of sand flies. As the main reservoir of the parasite, dogs are the principal targets of control measures against this disease, which affects both humans and dogs. Several studies have revealed the usefulness of topical insecticide treatment (collars, spot-ons and sprays) in reducing the incidence and prevalence of L infantum. The present study was designed to test the efficacy of 65% permethrin applied to dogs as a spot-on against the sand fly vector Phlebotomus perniciosus. The duration of the desired effects was also estimated to help design an optimal treatment regimen. Twelve dogs assigned to treatment (n = 6) and control (n = 6) groups were exposed to sand flies once a week over a seven-week period. Repellent and insecticidal efficacies were estimated and compared amongst the groups. Our findings indicate satisfactory repellent, or anti-feeding, effects lasting 3 weeks and short-term insecticidal effects lasting 2 weeks after initial application. Accordingly, we recommend the use of this product every 2-3 weeks during the active phlebotomine sand fly period to protect dogs against the bites of P. perniciosus. (C) 2012 Elsevier B.V. All rights reserved.",2012,Fernanda.dorea,4,"Not applicable (vector study)","Dog (Canis lupus familiaris)"
10171," Jude PJ, et al. 2012."," P. J. Jude, T. Tharmasegaram, G. Sivasubramaniyam, M. Senthilnanthanan, S. Kannathasan, S. Raveendran, R. Ramasamy, S. N. Surendran","Salinity-tolerant larvae of mosquito vectors in the tropical coast of Jaffna, Sri Lanka and the effect of salinity on the toxicity of Bacillus thuringiensis to Aedes aegypti larvae","Background: Dengue, chikungunya, malaria, filariasis and Japanese encephalitis are common mosquito-borne diseases endemic to Sri Lanka. Aedes aegypti and Aedes albopictus, the major vectors of dengue, were recently shown to undergo pre-imaginal development in brackish water bodies in the island. A limited survey of selected coastal localities of the Jaffna district in northern Sri Lanka was carried out to identify mosquito species undergoing pre-imaginal development in brackish and saline waters. The effect of salinity on the toxicity of Bacillus thuringiensis israelensis larvicide to Ae. aegypti larvae at salinity levels naturally tolerated by Ae. aegypti was examined. Methods: Larvae collected at the selected sites along the Jaffna coast were identified and salinity of habitat water determined in the laboratory. The LC 50 and LC 90 of B. thuringiensis toxin, the active ingredient of a commercial formulation of the larvicide BACTIVEC(R), were determined with Ae. aegypti larvae. Bioassays were also carried out at salinities varying from 0 to18 ppt to determine the toxicity of Bacillus thuringiensis to fresh and brackish water-derived larvae of Ae. aegypti. Results: Larvae of four Anopheles, two Aedes, one Culex and one Lutzia species were collected from brackish and saline sites with salinity in the range 2 to 68 ppt. The LC 50 and LC 90 of B. thuringiensis toxin for the second instar larvae of Ae. aegypti in fresh water were 0.006 ppm and 0.013 ppm respectively, with corresponding values for brackish water populations of 0.008 and 0.012 ppm respectively. One hundred percent survival of second instar fresh water and brackish water-derived Ae. aegypti larvae was recorded at salinity up to 10 and 12 ppt and 100% mortality at 16 and 18 ppt, yielding an LC 50 for salinity of 13.9 ppt and 15.4 ppt at 24 h post-treatment respectively for the two populations. Statistical analysis showed significantly reduced toxicity of B. thuringiensis to fresh and brackish water-derived Ae. aegypti larvae at high salinities. Conclusion: A variety of mosquito vectors of human diseases undergo pre-imaginal development in brackish or saline waters in coastal areas of the Jaffna district in northern Sri Lanka. Salinity has a small but significant negative impact on the toxicity of B. thuringiensis toxin to Ae. aegypti larvae at salinity levels where Ae. aegypti larvae are found in the environment. This has implications for the use of B. thuringiensis toxin as a larvicide in brackish waters.",2012,thomas.rosendal,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
10306," Karien Griffioen, et al. 2011."," Karien Griffioen, Dennis B. J. van Gemst, Maarten C. Pieterse, Frans Jacobs, Marianne M. Sloet van Oldruitenborgh-Oosterbaan","Culicoides species associated with sheep in The Netherlands and the effect of a permethrin insecticide","Culicoides spp. act as vectors for a number of viral diseases of animals including bluetongue in sheep. The aims of this study were to determine: (1) which Culicoides spp. are associated with sheep in The Netherlands; (2) the time of the day when they are most active; and (3) the effect of treatment of animals with a permethrin insecticide. Two pairs of sheep were each housed within mosquito tents of either one or two layers of netting and all trapped Culicoides spp. were identified microscopically. For the permethrin insecticide study, one of two pairs of sheep was treated with 3.6% permethrin and all animals were housed in tents of similar design. Of the 6210 midges captured, 54.1% were identified as C. chiopterus and 42.7% as C. obsoletus. C imicola was not identified. The average insect feeding rate was 35-40% and midge activity was greatest around sunset. Permethrin treatment reduced the number of midges captured by 50% and also resulted in a decrease in the percentage of midges that had fed. The findings provide useful information on the behaviour and distribution of Culicoides spp. that will facilitate the development of appropriate control strategies to minimise the risk of insect-vector borne virus diseases such as bluetongue. (C) 2010 Elsevier Ltd. All rights reserved.",2011,ann.lindberg,4,"Not applicable (vector study)","Sheep (Ovis aries)"
10380," Sebastien Marcombe, et al. 2011."," Sebastien Marcombe, Frederic Darriet, Michel Tolosa, Philip Agnew, Stephane Duchon, Manuel Etienne, Marie Michele Yp Tcha, Fabrice Chandre, Vincent Corbel, Andre Yebakima","Pyrethroid Resistance Reduces the Efficacy of Space Sprays for Dengue Control on the Island of Martinique (Caribbean)","Background: Dengue fever is reemerging on the island of Martinique and is a serious threat for the human population. During dengue epidemics, adult Aedes aegypti control with pyrethroid space sprays is implemented in order to rapidly reduce transmission. Unfortunately, vector control programs are facing operational challenges with the emergence of pyrethroid resistant Ae. aegypti populations. Methodology/Principal Findings: To assess the impact of pyrethroid resistance on the efficacy of treatments, applications of deltamethrin and natural pyrethrins were performed with vehicle-mounted thermal foggers in 9 localities of Martinique, where Ae. aegypti populations are strongly resistant to pyrethroids. Efficacy was assessed by monitoring mortality rates of naturally resistant and laboratory susceptible mosquitoes placed in sentinel cages. Before, during and after spraying, larval and adult densities were estimated. Results showed high mortality rates of susceptible sentinel mosquitoes treated with deltamethrin while resistant mosquitoes exhibited very low mortality. There was no reduction of either larval or adult Ae. aegypti population densities after treatments. Conclusions/Significance: This is the first documented evidence that pyrethroid resistance impedes dengue vector control using pyrethroid-based treatments. These results emphasize the need for alternative tools and strategies for dengue control programs.",2011,thomas.rosendal,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
10541," Minshad Ali Ansari, et al. 2011."," Minshad Ali Ansari, Edward C. Pope, Simon Carpenter, Ernst-Jan Scholte, Tariq M. Butt","Entomopathogenic Fungus as a Biological Control for an Important Vector of Livestock Disease: The Culicoides Biting Midge","Background: The recent outbreak of bluetongue virus in northern Europe has led to an urgent need to identify control measures for the Culicoides (Diptera: Ceratopogonidae) biting midges that transmit it. Following successful use of the entomopathogenic fungus Metarhizium anisopliae against larval stages of biting midge Culicoides nubeculosus Meigen, we investigated the efficacy of this strain and other fungi (Beauveria bassiana, Isaria fumosorosea and Lecanicillium longisporum) as biocontrol agents against adult C. nubeculosus in laboratory and greenhouse studies. Methodology/Findings: Exposure of midges to 'dry' conidia of all fungal isolates caused significant reductions in survival compared to untreated controls. Metarhizium anisopliae strain V275 was the most virulent, causing a significantly decrease in midge survival compared to all other fungal strains tested. The LT(50) value for strain V275 was 1.42 days compared to 2.21-3.22 days for the other isolates. The virulence of this strain was then further evaluated by exposing C. nubeculosus to varying doses (10(8)-10(11) conidia m(-2)) using different substrates (horse manure, damp peat, leaf litter) as a resting site. All exposed adults were found to be infected with the strain V275 four days after exposure. A further study exposed C. nubeculosus adults to 'dry' conidia and 'wet' conidia (conidia suspended in 0.03% aq. Tween 80) of strain V275 applied to damp peat and leaf litter in cages within a greenhouse. 'Dry' conidia were more effective than 'wet' conidia, causing 100% mortality after 5 days. Conclusion/Significance: This is the first study to demonstrate that entomopathogenic fungi are potential biocontrol agents against adult Culicoides, through the application of 'dry' conidia on surfaces (e. g., manure, leaf litter, livestock) where the midges tend to rest. Subsequent conidial transmission between males and females may cause an increased level of fungi-induced mortality in midges thus reducing the incidence of disease.",2011,ann.lindberg,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
10790," Gandhi Elango, et al. 2010."," Gandhi Elango, Abdul Abdul Rahuman, Asokan Bagavan, Chinnaperumal Kamaraj, Abdul Abduz Zahir, Govindasamy Rajakumar, Sampath Marimuthu, Thirunavukkarasu Santhoshkumar","Efficacy of botanical extracts against Japanese encephalitis vector, Culex tritaeniorhynchus","The purpose of the present study was to assess the effect of leaf hexane and chloroform extracts of Aegle marmelos, Andrographis lineata, Andrographis paniculata, Cocculus hirsutus, Eclipta prostrata, and Tagetes erecta on repellent, ovicidal, and oviposition-deterrent activities against Culex tritaeniorhynchus Giles (Diptera: Culicidae). The repellent action of the plant extracts tested varied depending on the plant species, part, solvent used in extraction, and the extract dose. The hexane extract of A. paniculata was more effective in exhibiting the repellent action against the mosquito as compared with A. lineata extract. Complete protections for 150 min were found in hexane extract of A. paniculata at 500 ppm against mosquito bites. Mean percent hatchability of the ovicidal activity was observed 24 h after treatment. The percent hatchability was inversely proportional to the concentration of extract and directly proportional to the eggs. No hatchability was observed with hexane, and chloroform extracts of A. lineata, A. paniculata, and hexane extract of T. erecta were exerted at 1,000 ppm. The percentage of effective oviposition repellency were 95.90, 94.75, 95.04, 90.58, 87.93, 87.14, 94.82, 95.71, 92.26, 90.58, 83.35, and 78.16 at 500 ppm, and the lowest repellency was 69.93, 53.06, 64.81, 70.06, 51.82, 54.54, 48.31, 66.71, 68.82, 61.85, 34.84, and 39.53 at 31.25 ppm in hexane and chloroform extracts of A. marmelos, A. lineata, A. paniculata, C. hirsutus, E. prostrata, and T. erecta, respectively. The oviposition activity index values revealed that the solvent plant extracts have deterrent effect, and they caused a remarkable negative response resulting in oviposition of very few eggs. These results clearly reveal that the hexane extracts of A. marmelos and A. paniculata served as a potential repellent, ovicidal, and oviposition deterrent against Japanese encephalitis vector, C. tritaeniorhynchus.",2010,Fernanda.dorea,4,"Not applicable (vector study)","NOT HOST SPECIFIC"
